package_id,campaign,entity,indicator_a_code,indicator_b_code,transformation,aligned_observation_count,raw_pearson_coefficient,time_index_series_a,time_index_series_b,first_difference_diagnostic,time_risk_classification,semantic_proximity,likely_dominated_by_shared_time_movement_review_only,consumer_usefulness_class,present_package_warnings_insufficient
pkg-object-srcpkg-campaign36-dnk-exports-imports-share-pearson-correlation-v1,campaign36,DNK,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,raw,35,0.988873850642,,,,unclassified_numeric_missing,semantically_close,False,reusable_with_warning_gap_numeric_time_diagnostic_absent,True
pkg-object-srcpkg-campaign37-nor-exports-imports-share-pearson-correlation-v1,campaign37,NOR,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,raw,35,-0.477418804478,,,,unclassified_numeric_missing,semantically_close,False,reusable_with_warning_gap_numeric_time_diagnostic_absent,True
pkg-object-srcpkg-campaign37-swe-exports-imports-share-pearson-correlation-v1,campaign37,SWE,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,raw,35,0.968490740983,,,,unclassified_numeric_missing,semantically_close,False,reusable_with_warning_gap_numeric_time_diagnostic_absent,True
pkg-object-srcpkg-campaign38-dnk-life-expectancy-fertility-pearson-correlation-v1,campaign38,DNK,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,raw,35,-0.40932912178,,,,unclassified_numeric_missing_time_warning_present,semantically_moderate,False,reusable_with_warning_gap_numeric_time_diagnostic_absent,True
pkg-object-srcpkg-campaign39-demographic-rates-pearson-correlation-v1,campaign39,SWE,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,raw,35,0.406143835452,,,,unclassified_numeric_missing_time_warning_present,semantically_close,False,reusable_with_warning_gap_numeric_time_diagnostic_absent,True
pkg-object-srcpkg-campaign39-health-system-coverage-pearson-correlation-v1,campaign39,DNK,SH.IMM.IDPT,SH.IMM.MEAS,raw,35,0.74990264881,,,,unclassified_numeric_missing_time_warning_present,semantically_close,False,reusable_with_warning_gap_numeric_time_diagnostic_absent,True
pkg-object-srcpkg-campaign39-infrastructure-digital-access-pearson-correlation-v1,campaign39,NOR,IT.NET.USER.ZS,IT.CEL.SETS.P2,raw,35,0.991171458703,,,,unclassified_numeric_missing_time_warning_present,semantically_close,False,reusable_with_warning_gap_numeric_time_diagnostic_absent,True
pkg-object-srcpkg-campaign40-agriculture-agricultural-forest-land-dnk-pearson-correlation-v1,campaign40,DNK,AG.LND.AGRI.ZS,AG.LND.FRST.ZS,raw,34,-0.841257509606,-0.828711001501,0.986386181457,-0.017407835395,high,semantically_close,True,positive_descriptor_but_requires_transformation_aware_companion,False
pkg-object-srcpkg-campaign40-demographic-birth-death-rates-nor-pearson-correlation-v1,campaign40,NOR,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,raw,35,0.885026927298,-0.962386748464,-0.959509920885,-0.289912537517,high,semantically_close,False,stable_descriptive_relationship_candidate_with_limitations,False
pkg-object-srcpkg-campaign40-energy-fossil-nonhydro-renewables-nor-pearson-correlation-v1,campaign40,NOR,EG.ELC.FOSL.ZS,EG.ELC.RNWX.ZS,raw,32,0.315942832953,0.64921014377,0.804092533899,-0.204185174675,high,semantically_close,False,stable_descriptive_relationship_candidate_with_limitations,False
pkg-object-srcpkg-campaign40-finance-credit-broad-money-dnk-pearson-correlation-v1,campaign40,DNK,FS.AST.PRVT.GD.ZS,FM.LBL.BMNY.GD.ZS,raw,35,0.316082156476,0.757137531509,0.521453951784,-0.083567273412,high,semantically_close,False,stable_descriptive_relationship_candidate_with_limitations,False
pkg-object-srcpkg-campaign40-health-life-expectancy-under5-mortality-nor-pearson-correlation-v1,campaign40,NOR,SP.DYN.LE00.IN,SH.DYN.MORT,raw,35,-0.951151571489,0.991026536994,-0.940259226282,-0.207863151096,high,semantically_close,False,stable_descriptive_relationship_candidate_with_limitations,False
pkg-object-srcpkg-campaign40-infrastructure-internet-mobile-swe-pearson-correlation-v1,campaign40,SWE,IT.NET.USER.ZS,IT.CEL.SETS.P2,raw,35,0.98654957106,0.890139366438,0.935643810072,0.402109713928,high,semantically_close,False,stable_descriptive_relationship_candidate_with_limitations,False
pkg-object-srcpkg-campaign41-dnk-agricultural-land-broad-money-pearson-correlation-v1,campaign41,DNK,AG.LND.AGRI.ZS,FM.LBL.BMNY.GD.ZS,raw,34,-0.328261524184,-0.828711001501,0.514955242,-0.018892915467,high,semantically_remote,False,baseline_input_requiring_transformation_aware_companion,False
